"TIME","GEO","UNIT","Value"
"2017","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Percentage of individuals","8"
"2017","Praha","Percentage of individuals","4"
"2017","Hovedstaden","Percentage of individuals","2"
"2017","Attiki","Percentage of individuals","19"
"2017","Comunidad de Madrid","Percentage of individuals","11"
"2017","Île de France","Percentage of individuals","6"
"2017","Hrvatska","Percentage of individuals","29"
"2017","Lazio","Percentage of individuals","28"
"2017","Wien","Percentage of individuals","6"
"2017","Region Centralny (NUTS 2013)","Percentage of individuals","18"
"2017","Helsinki-Uusimaa","Percentage of individuals","2"
"2017","Stockholm","Percentage of individuals","2"
