"TIME","GEO","UNIT","Value"
"2019","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Percentage of households","89"
"2019","Praha","Percentage of households","93"
"2019","Hovedstaden","Percentage of households","95"
"2019","Attiki","Percentage of households","84"
"2019","Comunidad de Madrid","Percentage of households","95"
"2019","Île de France","Percentage of households","93"
"2019","Hrvatska","Percentage of households","81"
"2019","Lazio","Percentage of households","88"
"2019","Wien","Percentage of households","92"
"2019","Makroregion Województwo Mazowieckie","Percentage of households","87"
"2019","Helsinki-Uusimaa","Percentage of households","97"
"2019","Stockholm","Percentage of households","95"
