"TIME","CITIES","INDIC_UR","UNIT","Value"
"2019","Bruxelles / Brussel","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","41.0"
"2019","Bruxelles / Brussel","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","29.1"
"2019","Praha","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","32.2"
"2019","Praha","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","39.5"
"2019","København (greater city)","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","41.2"
"2019","København (greater city)","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","42.1"
"2019","Athina (greater city)","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","22.4"
"2019","Athina (greater city)","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","30.2"
"2019","Madrid","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","38.7"
"2019","Madrid","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","24.4"
"2019","Paris (greater city)","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","44.8"
"2019","Paris (greater city)","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","26.1"
"2019","Zagreb","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","20.9"
"2019","Zagreb","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","34.8"
"2019","Roma","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","6.3"
"2019","Roma","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","45.9"
"2019","Wien","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","39.8"
"2019","Wien","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","42.1"
"2019","Warszawa","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","26.9"
"2019","Warszawa","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","51.1"
"2019","Helsinki / Helsingfors (greater city)","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","39.3"
"2019","Helsinki / Helsingfors (greater city)","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","33.0"
"2019","Stockholm (greater city)","Information and services of my local public administration can be easily accessed online: strongly agree","Percentage","29.0"
"2019","Stockholm (greater city)","Information and services of my local public administration can be easily accessed online: somewhat agree","Percentage","38.5"
