"TIME","CITIES","INDIC_UR","UNIT","Value"
"2006","Bruxelles / Brussel","When you contact administrative services of this city, they help you efficiently: strongly agree","Percentage","22.0"
"2006","Bruxelles / Brussel","When you contact administrative services of this city, they help you efficiently: somewhat agree","Percentage","40.8"
"2006","Bruxelles / Brussel","This city spends its resources in a responsible way: strongly agree","Percentage","13.4"
"2006","Bruxelles / Brussel","This city spends its resources in a responsible way: somewhat agree","Percentage","30.8"
"2006","Bruxelles / Brussel","You are satisfied to live in this city: strongly agree","Percentage","54.2"
"2006","Bruxelles / Brussel","You are satisfied to live in this city: somewhat agree","Percentage","34.5"
"2006","Bruxelles / Brussel","This city is a healthy city to live in: strongly agree","Percentage",":"
"2006","Bruxelles / Brussel","This city is a healthy city to live in: somewhat agree","Percentage",":"
"2006","Bruxelles / Brussel","The public administration of the city can be trusted: strongly agree","Percentage",":"
"2006","Bruxelles / Brussel","The public administration of the city can be trusted: somewhat agree","Percentage",":"
"2006","Praha","When you contact administrative services of this city, they help you efficiently: strongly agree","Percentage","9.6"
"2006","Praha","When you contact administrative services of this city, they help you efficiently: somewhat agree","Percentage","32.7"
"2006","Praha","This city spends its resources in a responsible way: strongly agree","Percentage","5.6"
"2006","Praha","This city spends its resources in a responsible way: somewhat agree","Percentage","26.6"
"2006","Praha","You are satisfied to live in this city: strongly agree","Percentage","55.3"
"2006","Praha","You are satisfied to live in this city: somewhat agree","Percentage","37.2"
"2006","Praha","This city is a healthy city to live in: strongly agree","Percentage",":"
"2006","Praha","This city is a healthy city to live in: somewhat agree","Percentage",":"
"2006","Praha","The public administration of the city can be trusted: strongly agree","Percentage",":"
"2006","Praha","The public administration of the city can be trusted: somewhat agree","Percentage",":"
"2006","København","When you contact administrative services of this city, they help you efficiently: strongly agree","Percentage","13.2"
"2006","København","When you contact administrative services of this city, they help you efficiently: somewhat agree","Percentage","44.8"
"2006","København","This city spends its resources in a responsible way: strongly agree","Percentage","7.0"
"2006","København","This city spends its resources in a responsible way: somewhat agree","Percentage","47.7"
"2006","København","You are satisfied to live in this city: strongly agree","Percentage","63.8"
"2006","København","You are satisfied to live in this city: somewhat agree","Percentage","33.4"
"2006","København","This city is a healthy city to live in: strongly agree","Percentage",":"
"2006","København","This city is a healthy city to live in: somewhat agree","Percentage",":"
"2006","København","The public administration of the city can be trusted: strongly agree","Percentage",":"
"2006","København","The public administration of the city can be trusted: somewhat agree","Percentage",":"
"2006","Athina","When you contact administrative services of this city, they help you efficiently: strongly agree","Percentage","14.7"
"2006","Athina","When you contact administrative services of this city, they help you efficiently: somewhat agree","Percentage","24.6"
"2006","Athina","This city spends its resources in a responsible way: strongly agree","Percentage","7.7"
"2006","Athina","This city spends its resources in a responsible way: somewhat agree","Percentage","15.1"
"2006","Athina","You are satisfied to live in this city: strongly agree","Percentage","34.5"
"2006","Athina","You are satisfied to live in this city: somewhat agree","Percentage","27.9"
"2006","Athina","This city is a healthy city to live in: strongly agree","Percentage",":"
"2006","Athina","This city is a healthy city to live in: somewhat agree","Percentage",":"
"2006","Athina","The public administration of the city can be trusted: strongly agree","Percentage",":"
"2006","Athina","The public administration of the city can be trusted: somewhat agree","Percentage",":"
"2006","Madrid","When you contact administrative services of this city, they help you efficiently: strongly agree","Percentage","14.6"
"2006","Madrid","When you contact administrative services of this city, they help you efficiently: somewhat agree","Percentage","38.7"
"2006","Madrid","This city spends its resources in a responsible way: strongly agree","Percentage","9.6"
"2006","Madrid","This city spends its resources in a responsible way: somewhat agree","Percentage","37.3"
"2006","Madrid","You are satisfied to live in this city: strongly agree","Percentage","51.5"
"2006","Madrid","You are satisfied to live in this city: somewhat agree","Percentage","36.9"
"2006","Madrid","This city is a healthy city to live in: strongly agree","Percentage",":"
"2006","Madrid","This city is a healthy city to live in: somewhat agree","Percentage",":"
"2006","Madrid","The public administration of the city can be trusted: strongly agree","Percentage",":"
"2006","Madrid","The public administration of the city can be trusted: somewhat agree","Percentage",":"
"2006","Paris","When you contact administrative services of this city, they help you efficiently: strongly agree","Percentage","12.2"
"2006","Paris","When you contact administrative services of this city, they help you efficiently: somewhat agree","Percentage","37.5"
"2006","Paris","This city spends its resources in a responsible way: strongly agree","Percentage","5.3"
"2006","Paris","This city spends its resources in a responsible way: somewhat agree","Percentage","36.4"
"2006","Paris","You are satisfied to live in this city: strongly agree","Percentage","49.8"
"2006","Paris","You are satisfied to live in this city: somewhat agree","Percentage","40.4"
"2006","Paris","This city is a healthy city to live in: strongly agree","Percentage",":"
"2006","Paris","This city is a healthy city to live in: somewhat agree","Percentage",":"
"2006","Paris","The public administration of the city can be trusted: strongly agree","Percentage",":"
"2006","Paris","The public administration of the city can be trusted: somewhat agree","Percentage",":"
"2006","Zagreb","When you contact administrative services of this city, they help you efficiently: strongly agree","Percentage","7.9"
"2006","Zagreb","When you contact administrative services of this city, they help you efficiently: somewhat agree","Percentage","26.5"
"2006","Zagreb","This city spends its resources in a responsible way: strongly agree","Percentage","14.0"
"2006","Zagreb","This city spends its resources in a responsible way: somewhat agree","Percentage","32.0"
"2006","Zagreb","You are satisfied to live in this city: strongly agree","Percentage","72.9"
"2006","Zagreb","You are satisfied to live in this city: somewhat agree","Percentage","22.1"
"2006","Zagreb","This city is a healthy city to live in: strongly agree","Percentage",":"
"2006","Zagreb","This city is a healthy city to live in: somewhat agree","Percentage",":"
"2006","Zagreb","The public administration of the city can be trusted: strongly agree","Percentage",":"
"2006","Zagreb","The public administration of the city can be trusted: somewhat agree","Percentage",":"
"2006","Roma","When you contact administrative services of this city, they help you efficiently: strongly agree","Percentage","10.3"
"2006","Roma","When you contact administrative services of this city, they help you efficiently: somewhat agree","Percentage","41.4"
"2006","Roma","This city spends its resources in a responsible way: strongly agree","Percentage","8.5"
"2006","Roma","This city spends its resources in a responsible way: somewhat agree","Percentage","30.8"
