"TIME","CITIES","INDIC_UR","Value"
"2010","Bruxelles / Brussel","Population on the 1st of January, total","1 089 538"
"2011","Bruxelles / Brussel","Population on the 1st of January, total","1 136 778"
"2012","Bruxelles / Brussel","Population on the 1st of January, total","1 159 448"
"2013","Bruxelles / Brussel","Population on the 1st of January, total","1 174 624"
"2014","Bruxelles / Brussel","Population on the 1st of January, total","1 183 841"
"2015","Bruxelles / Brussel","Population on the 1st of January, total","1 196 831"
"2016","Bruxelles / Brussel","Population on the 1st of January, total","1 201 129"
"2017","Bruxelles / Brussel","Population on the 1st of January, total","1 199 095"
"2018","Bruxelles / Brussel","Population on the 1st of January, total","1 205 492"
"2019","Bruxelles / Brussel","Population on the 1st of January, total","1 215 289"
"2010","Sofia","Population on the 1st of January, total","1 165 503"
"2011","Sofia","Population on the 1st of January, total","1 202 921"
"2012","Sofia","Population on the 1st of January, total","1 208 097"
"2013","Sofia","Population on the 1st of January, total","1 213 542"
"2014","Sofia","Population on the 1st of January, total","1 221 292"
"2015","Sofia","Population on the 1st of January, total","1 228 282"
"2016","Sofia","Population on the 1st of January, total","1 231 981"
"2017","Sofia","Population on the 1st of January, total","1 236 047"
"2018","Sofia","Population on the 1st of January, total","1 238 438"
"2019","Sofia","Population on the 1st of January, total","1 241 675"
"2010","Praha","Population on the 1st of January, total","1 257 158"
"2011","Praha","Population on the 1st of January, total","1 241 664"
"2012","Praha","Population on the 1st of January, total","1 246 780"
"2013","Praha","Population on the 1st of January, total","1 243 201"
"2014","Praha","Population on the 1st of January, total","1 259 079"
"2015","Praha","Population on the 1st of January, total","1 267 449"
"2016","Praha","Population on the 1st of January, total","1 280 508"
"2017","Praha","Population on the 1st of January, total","1 294 513"
"2018","Praha","Population on the 1st of January, total",":"
"2019","Praha","Population on the 1st of January, total","1 324 277"
"2010","København","Population on the 1st of January, total",":"
"2011","København","Population on the 1st of January, total","539 542"
"2012","København","Population on the 1st of January, total","549 050"
"2013","København","Population on the 1st of January, total","559 440"
"2014","København","Population on the 1st of January, total",":"
"2015","København","Population on the 1st of January, total",":"
"2016","København","Population on the 1st of January, total",":"
"2017","København","Population on the 1st of January, total",":"
"2018","København","Population on the 1st of January, total",":"
"2019","København","Population on the 1st of January, total",":"
"2010","Berlin","Population on the 1st of January, total","3 442 675"
"2011","Berlin","Population on the 1st of January, total","3 460 725"
"2012","Berlin","Population on the 1st of January, total","3 326 002"
"2013","Berlin","Population on the 1st of January, total","3 375 222"
"2014","Berlin","Population on the 1st of January, total","3 421 829"
"2015","Berlin","Population on the 1st of January, total","3 469 849"
"2016","Berlin","Population on the 1st of January, total","3 520 031"
"2017","Berlin","Population on the 1st of January, total","3 574 830"
"2018","Berlin","Population on the 1st of January, total","3 613 495"
"2019","Berlin","Population on the 1st of January, total","3 644 826"
"2010","Tallinn","Population on the 1st of January, total","406 665"
"2011","Tallinn","Population on the 1st of January, total","393 222"
"2012","Tallinn","Population on the 1st of January, total","403 862"
"2013","Tallinn","Population on the 1st of January, total","406 059"
"2014","Tallinn","Population on the 1st of January, total","411 063"
"2015","Tallinn","Population on the 1st of January, total","413 782"
"2016","Tallinn","Population on the 1st of January, total","423 420"
"2017","Tallinn","Population on the 1st of January, total","426 538"
"2018","Tallinn","Population on the 1st of January, total","430 805"
"2019","Tallinn","Population on the 1st of January, total","434 562"
"2010","Dublin","Population on the 1st of January, total",":"
"2011","Dublin","Population on the 1st of January, total","516 255"
"2012","Dublin","Population on the 1st of January, total",":"
"2013","Dublin","Population on the 1st of January, total",":"
"2014","Dublin","Population on the 1st of January, total",":"
"2015","Dublin","Population on the 1st of January, total",":"
"2016","Dublin","Population on the 1st of January, total",":"
"2017","Dublin","Population on the 1st of January, total",":"
"2018","Dublin","Population on the 1st of January, total",":"
"2019","Dublin","Population on the 1st of January, total",":"
"2010","Athina","Population on the 1st of January, total",":"
"2011","Athina","Population on the 1st of January, total","664 046"
"2012","Athina","Population on the 1st of January, total",":"
"2013","Athina","Population on the 1st of January, total",":"
"2014","Athina","Population on the 1st of January, total",":"
"2015","Athina","Population on the 1st of January, total",":"
"2016","Athina","Population on the 1st of January, total",":"
"2017","Athina","Population on the 1st of January, total",":"
"2018","Athina","Population on the 1st of January, total",":"
"2019","Athina","Population on the 1st of January, total",":"
"2010","Madrid","Population on the 1st of January, total","3 273 049"
"2011","Madrid","Population on the 1st of January, total","3 198 645"
