"TIME","CITIES","INDIC_UR","Value"
"2010","Bruxelles / Brussel","Population on the 1st of January, female","562 751"
"2011","Bruxelles / Brussel","Population on the 1st of January, female","582 295"
"2012","Bruxelles / Brussel","Population on the 1st of January, female","592 140"
"2013","Bruxelles / Brussel","Population on the 1st of January, female","599 199"
"2014","Bruxelles / Brussel","Population on the 1st of January, female","603 520"
"2015","Bruxelles / Brussel","Population on the 1st of January, female","609 555"
"2016","Bruxelles / Brussel","Population on the 1st of January, female","611 859"
"2017","Bruxelles / Brussel","Population on the 1st of January, female","611 616"
"2018","Bruxelles / Brussel","Population on the 1st of January, female","614 177"
"2019","Bruxelles / Brussel","Population on the 1st of January, female","618 282"
"2010","Sofia","Population on the 1st of January, female","612 586"
"2011","Sofia","Population on the 1st of January, female","631 163"
"2012","Sofia","Population on the 1st of January, female","633 530"
"2013","Sofia","Population on the 1st of January, female","635 826"
"2014","Sofia","Population on the 1st of January, female","639 207"
"2015","Sofia","Population on the 1st of January, female","642 449"
"2016","Sofia","Population on the 1st of January, female","644 102"
"2017","Sofia","Population on the 1st of January, female","645 711"
"2018","Sofia","Population on the 1st of January, female","646 349"
"2019","Sofia","Population on the 1st of January, female","647 430"
"2010","Praha","Population on the 1st of January, female","645 086"
"2011","Praha","Population on the 1st of January, female","638 677"
"2012","Praha","Population on the 1st of January, female","641 296"
"2013","Praha","Population on the 1st of January, female","640 588"
"2014","Praha","Population on the 1st of January, female","648 703"
"2015","Praha","Population on the 1st of January, female","652 780"
"2016","Praha","Population on the 1st of January, female","658 943"
"2017","Praha","Population on the 1st of January, female","664 963"
"2018","Praha","Population on the 1st of January, female",":"
"2019","Praha","Population on the 1st of January, female","676 991"
"2010","København","Population on the 1st of January, female",":"
"2011","København","Population on the 1st of January, female","272 514"
"2012","København","Population on the 1st of January, female","277 632"
"2013","København","Population on the 1st of January, female","283 184"
"2014","København","Population on the 1st of January, female",":"
"2015","København","Population on the 1st of January, female",":"
"2016","København","Population on the 1st of January, female",":"
"2017","København","Population on the 1st of January, female",":"
"2018","København","Population on the 1st of January, female",":"
"2019","København","Population on the 1st of January, female",":"
"2010","Berlin","Population on the 1st of January, female","1 756 419"
"2011","Berlin","Population on the 1st of January, female","1 765 287"
"2012","Berlin","Population on the 1st of January, female","1 708 172"
"2013","Berlin","Population on the 1st of January, female","1 730 709"
"2014","Berlin","Population on the 1st of January, female","1 751 976"
"2015","Berlin","Population on the 1st of January, female","1 773 631"
"2016","Berlin","Population on the 1st of January, female","1 793 498"
"2017","Berlin","Population on the 1st of January, female","1 819 130"
"2018","Berlin","Population on the 1st of January, female","1 837 228"
"2019","Berlin","Population on the 1st of January, female","1 852 025"
"2010","Tallinn","Population on the 1st of January, female","225 511"
"2011","Tallinn","Population on the 1st of January, female",":"
"2012","Tallinn","Population on the 1st of January, female","220 944"
"2013","Tallinn","Population on the 1st of January, female","222 273"
"2014","Tallinn","Population on the 1st of January, female","225 346"
"2015","Tallinn","Population on the 1st of January, female","226 732"
"2016","Tallinn","Population on the 1st of January, female","233 854"
"2017","Tallinn","Population on the 1st of January, female","234 980"
"2018","Tallinn","Population on the 1st of January, female","236 532"
"2019","Tallinn","Population on the 1st of January, female","237 862"
"2010","Dublin","Population on the 1st of January, female",":"
"2011","Dublin","Population on the 1st of January, female","264 096"
"2012","Dublin","Population on the 1st of January, female",":"
"2013","Dublin","Population on the 1st of January, female",":"
"2014","Dublin","Population on the 1st of January, female",":"
"2015","Dublin","Population on the 1st of January, female",":"
"2016","Dublin","Population on the 1st of January, female",":"
"2017","Dublin","Population on the 1st of January, female",":"
"2018","Dublin","Population on the 1st of January, female",":"
"2019","Dublin","Population on the 1st of January, female",":"
"2010","Athina","Population on the 1st of January, female",":"
"2011","Athina","Population on the 1st of January, female","348 836"
"2012","Athina","Population on the 1st of January, female",":"
"2013","Athina","Population on the 1st of January, female",":"
"2014","Athina","Population on the 1st of January, female",":"
"2015","Athina","Population on the 1st of January, female",":"
"2016","Athina","Population on the 1st of January, female",":"
"2017","Athina","Population on the 1st of January, female",":"
"2018","Athina","Population on the 1st of January, female",":"
"2019","Athina","Population on the 1st of January, female",":"
"2010","Madrid","Population on the 1st of January, female","1 735 159"
"2011","Madrid","Population on the 1st of January, female","1 703 308"
"2012","Madrid","Population on the 1st of January, female","1 723 676"
"2013","Madrid","Population on the 1st of January, female","1 712 655"
"2014","Madrid","Population on the 1st of January, female","1 692 245"
"2015","Madrid","Population on the 1st of January, female","1 681 394"
"2016","Madrid","Population on the 1st of January, female","1 693 369"
"2017","Madrid","Population on the 1st of January, female","1 702 381"
"2018","Madrid","Population on the 1st of January, female","1 723 144"
"2019","Madrid","Population on the 1st of January, female","1 745 973"
"2010","Paris","Population on the 1st of January, female","4 972 655"
"2011","Paris","Population on the 1st of January, female","4 996 257"
"2012","Paris","Population on the 1st of January, female","5 010 727"
"2013","Paris","Population on the 1st of January, female","5 029 886"
"2014","Paris","Population on the 1st of January, female","5 057 594"
"2015","Paris","Population on the 1st of January, female","5 076 839"
"2016","Paris","Population on the 1st of January, female","5 088 490"
"2017","Paris","Population on the 1st of January, female","5 109 235"
"2018","Paris","Population on the 1st of January, female",":"
"2019","Paris","Population on the 1st of January, female",":"
