"TIME","CITIES","INDIC_UR","Value"
"2011","Bruxelles / Brussel","Population on the 1st of January, total","1 136 778"
"2011","Bruxelles / Brussel","Population on the 1st of January, female","582 295"
"2011","Praha","Population on the 1st of January, total","1 241 664"
"2011","Praha","Population on the 1st of January, female","638 677"
"2011","København","Population on the 1st of January, total","539 542"
"2011","København","Population on the 1st of January, female","272 514"
"2011","Athina","Population on the 1st of January, total","664 046"
"2011","Athina","Population on the 1st of January, female","348 836"
"2011","Madrid","Population on the 1st of January, total","3 198 645"
"2011","Madrid","Population on the 1st of January, female","1 703 308"
"2011","Paris (greater city)","Population on the 1st of January, total","6 695 406"
"2011","Paris (greater city)","Population on the 1st of January, female","3 490 083"
"2011","Zagreb","Population on the 1st of January, total",":"
"2011","Zagreb","Population on the 1st of January, female",":"
"2011","Roma","Population on the 1st of January, total","2 608 530"
"2011","Roma","Population on the 1st of January, female","1 382 895"
"2011","Wien","Population on the 1st of January, total",":"
"2011","Wien","Population on the 1st of January, female",":"
"2011","Warszawa","Population on the 1st of January, total","1 708 491"
"2011","Warszawa","Population on the 1st of January, female","924 674"
"2011","Helsinki / Helsingfors","Population on the 1st of January, total","595 384"
"2011","Helsinki / Helsingfors","Population on the 1st of January, female","312 188"
"2011","Stockholm","Population on the 1st of January, total","864 324"
"2011","Stockholm","Population on the 1st of January, female","440 350"
"2012","Bruxelles / Brussel","Population on the 1st of January, total","1 159 448"
"2012","Bruxelles / Brussel","Population on the 1st of January, female","592 140"
"2012","Praha","Population on the 1st of January, total","1 246 780"
"2012","Praha","Population on the 1st of January, female","641 296"
"2012","København","Population on the 1st of January, total","549 050"
"2012","København","Population on the 1st of January, female","277 632"
"2012","Athina","Population on the 1st of January, total",":"
"2012","Athina","Population on the 1st of January, female",":"
"2012","Madrid","Population on the 1st of January, total","3 233 527"
"2012","Madrid","Population on the 1st of January, female","1 723 676"
"2012","Paris (greater city)","Population on the 1st of January, total","6 707 750"
"2012","Paris (greater city)","Population on the 1st of January, female","3 496 782"
"2012","Zagreb","Population on the 1st of January, total",":"
"2012","Zagreb","Population on the 1st of January, female",":"
"2012","Roma","Population on the 1st of January, total","2 614 263"
"2012","Roma","Population on the 1st of January, female","1 386 304"
"2012","Wien","Population on the 1st of January, total",":"
"2012","Wien","Population on the 1st of January, female",":"
"2012","Warszawa","Population on the 1st of January, total","1 715 517"
"2012","Warszawa","Population on the 1st of January, female","928 629"
"2012","Helsinki / Helsingfors","Population on the 1st of January, total","603 968"
"2012","Helsinki / Helsingfors","Population on the 1st of January, female","315 320"
"2012","Stockholm","Population on the 1st of January, total",":"
"2012","Stockholm","Population on the 1st of January, female",":"
"2013","Bruxelles / Brussel","Population on the 1st of January, total","1 174 624"
"2013","Bruxelles / Brussel","Population on the 1st of January, female","599 199"
"2013","Praha","Population on the 1st of January, total","1 243 201"
"2013","Praha","Population on the 1st of January, female","640 588"
"2013","København","Population on the 1st of January, total","559 440"
"2013","København","Population on the 1st of January, female","283 184"
"2013","Athina","Population on the 1st of January, total",":"
"2013","Athina","Population on the 1st of January, female",":"
"2013","Madrid","Population on the 1st of January, total","3 207 247"
"2013","Madrid","Population on the 1st of January, female","1 712 655"
"2013","Paris (greater city)","Population on the 1st of January, total","6 728 051"
"2013","Paris (greater city)","Population on the 1st of January, female","3 505 224"
"2013","Zagreb","Population on the 1st of January, total","791 946"
"2013","Zagreb","Population on the 1st of January, female","421 705"
"2013","Roma","Population on the 1st of January, total","2 638 842"
"2013","Roma","Population on the 1st of January, female","1 396 972"
"2013","Wien","Population on the 1st of January, total","1 741 246"
"2013","Wien","Population on the 1st of January, female","905 130"
"2013","Warszawa","Population on the 1st of January, total","1 724 404"
"2013","Warszawa","Population on the 1st of January, female","933 197"
"2013","Helsinki / Helsingfors","Population on the 1st of January, total","612 664"
"2013","Helsinki / Helsingfors","Population on the 1st of January, female","319 406"
"2013","Stockholm","Population on the 1st of January, total",":"
"2013","Stockholm","Population on the 1st of January, female",":"
"2014","Bruxelles / Brussel","Population on the 1st of January, total","1 183 841"
"2014","Bruxelles / Brussel","Population on the 1st of January, female","603 520"
"2014","Praha","Population on the 1st of January, total","1 259 079"
"2014","Praha","Population on the 1st of January, female","648 703"
"2014","København","Population on the 1st of January, total",":"
"2014","København","Population on the 1st of January, female",":"
"2014","Athina","Population on the 1st of January, total",":"
"2014","Athina","Population on the 1st of January, female",":"
"2014","Madrid","Population on the 1st of January, total","3 165 235"
"2014","Madrid","Population on the 1st of January, female","1 692 245"
"2014","Paris (greater city)","Population on the 1st of January, total","6 754 282"
"2014","Paris (greater city)","Population on the 1st of January, female","3 518 746"
"2014","Zagreb","Population on the 1st of January, total","793 049"
